"Index";"Radiación Difusa (DF)";"Radiación Directa (DT)";"Radiación Global (GL)"
2010-12-05 05:00:00;0;0;0
2010-12-05 06:00:00;0;0;0
2010-12-05 07:00:00;0;0;0
2010-12-05 18:00:00;0;0;0
2010-12-05 19:00:00;0;0;0
2010-12-05 20:00:00;0;0;0
2010-12-06 05:00:00;0;0;0
2010-12-06 06:00:00;0;0;0
2010-12-06 07:00:00;0;0;0
2010-12-06 08:00:00;6;0;6
2010-12-06 09:00:00;42;16;46
2010-12-06 10:00:00;86;81;115
2010-12-06 11:00:00;75;42;94
2010-12-06 12:00:00;82;14;90
2010-12-06 13:00:00;115;17;123
2010-12-06 14:00:00;98;29;112
2010-12-06 15:00:00;11;0;11
2010-12-06 16:00:00;0;0;0
2010-12-06 17:00:00;0;0;0
2010-12-06 18:00:00;0;0;0
2010-12-06 19:00:00;0;0;0
2010-12-06 20:00:00;0;0;0
2010-12-07 05:00:00;0;0;0
2010-12-07 06:00:00;0;0;0
2010-12-07 07:00:00;0;0;0
2010-12-07 08:00:00;2;0;2
2010-12-07 09:00:00;24;0;24
2010-12-07 10:00:00;13;0;13
2010-12-07 11:00:00;35;0;35
2010-12-07 12:00:00;17;0;17
2010-12-07 13:00:00;17;0;17
2010-12-07 14:00:00;37;0;38
2010-12-07 15:00:00;50;3;51
2010-12-07 16:00:00;21;0;21
2010-12-07 17:00:00;2;0;2
2010-12-07 18:00:00;0;0;0
2010-12-07 19:00:00;0;0;0
2010-12-07 20:00:00;0;0;0
2010-12-08 05:00:00;0;0;0
2010-12-08 06:00:00;0;0;0
2010-12-08 07:00:00;0;0;0
2010-12-08 08:00:00;3;0;3
2010-12-08 09:00:00;32;0;32
2010-12-08 10:00:00;49;3;50
2010-12-08 11:00:00;91;72;124
2010-12-08 12:00:00;58;1;59
2010-12-08 13:00:00;80;3;82
2010-12-08 14:00:00;94;3;96
2010-12-08 15:00:00;49;40;65
2010-12-08 16:00:00;6;0;6
2010-12-08 17:00:00;1;0;1
2010-12-08 18:00:00;0;0;0
2010-12-08 19:00:00;0;0;0
2010-12-08 20:00:00;0;0;0
2010-12-09 05:00:00;0;0;0
2010-12-09 06:00:00;0;0;0
2010-12-09 07:00:00;0;0;0
2010-12-09 08:00:00;9;17;12
2010-12-09 09:00:00;30;99;54
2010-12-09 10:00:00;36;212;110
2010-12-09 11:00:00;40;248;152
2010-12-09 12:00:00;41;263;173
2010-12-09 13:00:00;42;262;174
2010-12-09 14:00:00;41;246;153
2010-12-09 15:00:00;37;210;112
2010-12-09 16:00:00;28;129;58
2010-12-09 17:00:00;6;2;7
2010-12-09 18:00:00;0;0;0
2010-12-09 19:00:00;0;0;0
2010-12-09 20:00:00;0;0;0
2010-12-10 05:00:00;0;0;0
2010-12-10 06:00:00;0;0;0
2010-12-10 07:00:00;0;0;0
2010-12-10 08:00:00;3;0;3
2010-12-10 09:00:00;21;5;22
2010-12-10 10:00:00;53;2;54
2010-12-10 11:00:00;83;23;93
2010-12-10 12:00:00;80;4;83
2010-12-10 13:00:00;97;22;108
2010-12-10 14:00:00;77;49;100
2010-12-10 15:00:00;58;102;93
2010-12-10 16:00:00;34;90;53
2010-12-10 17:00:00;13;33;16
2010-12-10 18:00:00;0;0;0
2010-12-10 19:00:00;0;0;0
2010-12-10 20:00:00;0;0;0
2010-12-11 05:00:00;0;0;0
2010-12-11 06:00:00;0;0;0
2010-12-11 07:00:00;0;0;0
2010-12-11 08:00:00;9;6;10
2010-12-11 09:00:00;39;70;54
2010-12-11 10:00:00;66;111;102
2010-12-11 11:00:00;78;123;133
2010-12-11 12:00:00;84;132;151
2010-12-11 13:00:00;91;117;150
2010-12-11 14:00:00;81;85;120
2010-12-11 15:00:00;62;111;102
2010-12-11 16:00:00;36;83;56
2010-12-11 17:00:00;8;3;8
2010-12-11 18:00:00;0;0;0
2010-12-11 19:00:00;0;0;0
2010-12-11 20:00:00;0;0;0
2010-12-12 05:00:00;0;0;0
2010-12-12 06:00:00;0;0;0
2010-12-12 07:00:00;0;0;0
2010-12-12 08:00:00;6;8;7
2010-12-12 09:00:00;30;4;30
2010-12-12 10:00:00;35;0;36
2010-12-12 11:00:00;50;2;51
2010-12-12 12:00:00;88;7;91
2010-12-12 13:00:00;103;52;130
2010-12-12 14:00:00;50;1;50
2010-12-12 15:00:00;32;0;32
2010-12-12 16:00:00;16;0;16
2010-12-12 17:00:00;3;0;3
2010-12-12 18:00:00;0;0;0
2010-12-12 19:00:00;0;0;0
2010-12-12 20:00:00;0;0;0
2010-12-13 05:00:00;0;0;0
2010-12-13 06:00:00;0;0;0
2010-12-13 07:00:00;0;0;0
2010-12-13 08:00:00;4;0;4
2010-12-13 09:00:00;28;0;28
2010-12-13 10:00:00;44;0;44
2010-12-13 11:00:00;41;0;41
2010-12-13 12:00:00;65;0;65
2010-12-13 13:00:00;100;29;115
2010-12-13 14:00:00;75;208;171
2010-12-13 15:00:00;66;101;102
2010-12-13 16:00:00;58;112;80
2010-12-13 17:00:00;9;34;11
2010-12-13 18:00:00;0;0;0
2010-12-13 19:00:00;0;0;0
2010-12-13 20:00:00;0;0;0
2010-12-14 05:00:00;0;0;0
2010-12-14 06:00:00;0;0;0
2010-12-14 07:00:00;0;0;0
2010-12-14 08:00:00;6;0;6
2010-12-14 09:00:00;28;0;29
2010-12-14 10:00:00;52;0;52
2010-12-14 11:00:00;64;0;65
2010-12-14 12:00:00;62;0;62
2010-12-14 13:00:00;73;0;73
2010-12-14 14:00:00;78;82;113
2010-12-14 15:00:00;43;189;107
2010-12-14 16:00:00;26;148;57
2010-12-14 17:00:00;7;32;10
2010-12-14 18:00:00;0;0;0
2010-12-14 19:00:00;0;0;0
2010-12-14 20:00:00;0;0;0
2010-12-15 05:00:00;0;0;0
2010-12-15 06:00:00;0;0;0
2010-12-15 07:00:00;0;0;0
2010-12-15 08:00:00;9;57;14
2010-12-15 09:00:00;19;213;65
2010-12-15 10:00:00;29;217;105
2010-12-15 11:00:00;27;307;163
2010-12-15 12:00:00;24;330;189
2010-12-15 13:00:00;25;332;190
