"","TempAvg","TempMax","TempMin","HumidAvg","HumidMax","WindAvg","WindMax","Rain","Radiation","ET"
"2004-01-01",4.044,10.71,-1.969,88.3,95.9,0.746,3.528,0,5.49,0.535268783569336
"2004-01-02",5.777,11.52,1.247,83.3,98.5,1.078,6.88,0,6.537,0.771049916744232
"2004-01-03",5.85,13.32,0.377,75,94.4,0.979,6.576,0,8.81,0.836122930049896
"2004-01-04",4.408,15.59,-2.576,82,97,0.633,3.704,0,9.79,0.686138093471527
"2004-01-05",3.081,14.58,-2.974,83.2,97,0.389,2.244,0,10.3,0.515242218971252
"2004-01-06",2.304,11.83,-3.379,84.5,96.5,0.436,2.136,0,9.94,0.488663107156754
"2004-01-07",2.08,11.5,-3.109,87,96.6,0.449,3.949,0,7.41,0.514021456241608
"2004-01-08",6.405,13.38,-1.301,88.6,97.4,1.188,6.821,0,4.63,0.719024837017059
"2004-01-09",12.06,15.33,9.83,86.8,94.5,2.737,7.75,0,4.995,1.06499481201172
"2004-01-10",10.85,16.59,5.676,84.9,95.6,1.643,4.537,0,8.93,1.05781090259552
"2004-01-11",7.59,9.23,4.806,95.4,97.5,0.385,2.195,0,2.098,0.478765100240707
"2004-01-12",7.41,10.24,5.2,93.1,97.1,0.787,3.097,0,4.326,0.573654472827911
"2004-01-13",8.35,11.38,4.137,91.3,96.2,1.527,6.203,0.4,2.66,0.728693306446075
"2004-01-14",8.74,13.32,2.857,86.9,96.6,2.172,9.23,0,3.921,0.924631357192993
"2004-01-15",4.975,10.77,1.382,90,98.9,0.526,2.46,0,6.235,0.603973925113678
"2004-01-16",5.181,12.91,-1.499,84.7,98.3,1.202,5.802,0.2,10.03,0.838891804218292
"2004-01-17",6.233,13.85,-1.032,85.3,97.8,2.222,8.08,0,9.79,1.15392935276031
"2004-01-18",6.125,10.03,-0.095,54.93,74,2.653,8.61,0,10.32,1.56585764884949
"2004-01-19",3.758,12.37,-3.716,52.63,83.1,1.016,6.125,0,11.13,1.16730511188507
"2004-01-20",1.466,11.84,-5.194,71.6,93.2,0.593,3.793,0,10.1,0.792518973350525
"2004-01-21",2.374,14.24,-5.458,74.6,94.1,0.396,2.313,0,10.58,0.702688694000244
"2004-01-22",2.97,13.99,-4.391,79.3,95.9,0.474,2.724,0,11.07,0.740657448768616
"2004-01-23",6.112,17.27,-2.104,77.9,94.9,0.999,4.684,0,9.87,1.15922713279724
"2004-01-24",9.3,19.67,1.988,78.9,97,0.568,2.911,0,10.71,1.00656247138977
"2004-01-25",6.626,13.38,-0.56,87.1,97.6,1.469,6.644,0,8.1,0.955570340156555
"2004-01-26",11.67,13.58,9.29,81.6,90,4.186,NA,0,2.782,1.39923143386841
"2004-01-27",12.45,16.59,10.3,79.2,95.4,4.598,NA,0.8,9.29,2.10297298431396
"2004-01-28",6.746,11.97,-1.769,59.96,86.9,0.959,6.978,0,12.31,1.12152493000031
"2004-01-29",1.887,11.16,-4.992,71.4,93.1,0.494,2.852,0,11.77,0.807567656040192
"2004-01-30",4.702,10.98,-0.225,75.4,95.3,0.696,3.548,2.6,4.43,0.842490136623383
"2004-01-31",7.46,10.71,4.332,94,96.5,0.302,2.969,4.8,2.614,0.549484193325043
"2004-02-01",10.68,15.06,8.09,91.6,97,0.341,2.303,0.4,4.579,0.727693140506744
"2004-02-02",10.66,18.06,6.615,87.3,96.8,0.472,2.421,0,9.38,1.01409900188446
"2004-02-03",9.19,19.27,2.048,83.7,97.8,0.487,2.078,0.2,12.05,1.12851619720459
"2004-02-04",9.86,20.93,2.791,80.8,97.3,0.496,2.293,0,12.75,1.23178899288177
"2004-02-05",10.01,21.15,1.853,78.9,97.1,0.539,2.528,0,12.94,1.2942373752594
"2004-02-06",8.65,20.34,0.445,76.8,96.5,0.612,3.577,0,13.32,1.36339294910431
"2004-02-07",7.44,18.19,0.243,82.1,97,0.423,1.891,0,10.86,1.07193851470947
"2004-02-08",7.99,17.32,1.449,81.1,96.8,0.549,3.214,0,11.28,1.16460037231445
"2004-02-09",6.27,13.92,0.714,85.4,97.2,0.773,3.989,0.2,6.547,0.971039533615112
"2004-02-10",5.879,17.13,-1.706,70.3,98.3,1.278,6.635,0,12.84,1.87668895721436
"2004-02-11",4.975,17.32,-4.387,58.5,87.6,0.542,2.617,0,14.81,1.3384428024292
"2004-02-12",4.846,17.45,-4.587,62.63,90.3,0.57,3.312,0,14.53,1.36225044727325
"2004-02-13",5.927,18.73,-3.311,63.97,90,0.551,2.656,0,14.37,1.41669130325317
"2004-02-14",6.401,17.06,-2.171,67.95,90.8,0.666,3.234,0,12.79,1.39712250232697
"2004-02-15",5.53,14.31,-2.104,83.1,96.2,1.093,4.831,0,13.35,1.3102616071701
"2004-02-16",6.985,11.31,1.05,82.3,97,0.762,2.979,0,6.592,0.956605136394501
"2004-02-17",3.455,13.44,-4.593,73.3,97.4,0.486,5.263,0.2,14.66,1.23199248313904
"2004-02-18",3.954,12.04,-3.918,64.24,88.8,0.687,3.557,0,8.18,1.14985322952271
"2004-02-19",5.24,12.9,-2.24,49.94,81.8,0.998,4.547,0,15.78,1.6783447265625
"2004-02-20",4.808,9.78,-2.374,72.1,94.5,1.597,8.3,4.2,2.562,0.975316524505615
"2004-02-21",6.705,11.65,1.921,89.5,96.3,1.702,7.69,14.4,3.86,0.902444064617157
"2004-02-22",4.886,11.17,-1.43,80.7,97.3,1.253,7.05,1.4,10.57,1.31062746047974
"2004-02-23",5.857,10.49,0.579,80,96.9,0.432,3.205,0,10.25,1.10523521900177
"2004-02-24",5.442,7.63,4.467,94.5,96.6,0.766,3.665,25.4,1.694,0.572346806526184
"2004-02-25",8.4,14.46,4.931,87.8,97,0.721,6.635,5.2,6.713,1.14767718315125
"2004-02-26",5.914,8.02,-0.223,82.6,96.8,0.678,4.096,0.6,4.731,0.867881119251251
"2004-02-27",2.474,7.76,-1.099,76,94.5,3.017,NA,1,9.22,1.68078207969666
"2004-02-28",3.625,9.7,-2.036,69.64,88.7,3.345,9.32,0,15.22,1.95304906368256
"2004-02-29",5.247,10.77,0.442,69.85,93.4,1.954,7.8,0,13.12,1.88282179832458
"2004-03-01",2.802,9.22,-2.637,59.96,92.5,0.772,4.91,0,17.05,1.55936813354492
"2004-03-02",1.818,11.5,-6.065,56.36,84.8,0.872,5.331,0,18.05,1.7483617067337
"2004-03-03",3.197,13.45,-4.789,62.12,90.9,1.086,6.684,0,15.15,1.90950167179108
"2004-03-04",6.734,16.93,-2.104,63.74,88.3,1.012,4.341,0,14.37,2.02574491500854
"2004-03-05",8.9,17.68,1.181,64.55,92.1,0.767,3.979,0,9.44,1.69022870063782
"2004-03-06",11.88,17.6,6.951,75,93.2,2.412,8.09,0.2,11.01,2.23534393310547
"2004-03-07",8.97,17.11,1.651,62.02,85.4,0.773,4.508,0,19.01,2.20191407203674
"2004-03-08",8.32,17.94,-0.021,75.9,94.2,0.943,5.292,0,15.46,2.04193115234375
"2004-03-09",10.29,18.26,1.584,73.3,96.2,1.044,4.087,0,16.59,2.26247453689575
"2004-03-10",12.21,17.54,8.89,73.3,89.6,2.248,8.2,2,13.29,2.63926577568054
"2004-03-11",11.07,16.8,7.35,75.6,93.4,2.52,7.48,0.2,15.49,2.54822826385498
"2004-03-12",10.67,16.41,7.55,82.3,94.7,2.091,NA,9.8,4.919,1.59365522861481
"2004-03-13",8.53,13.92,5.141,88.1,95.9,0.719,6.605,6,6.178,1.16867816448212
"2004-03-14",8.96,17.46,3.257,84.1,98.1,0.511,3.107,0,16.22,1.96193909645081
"2004-03-15",11.64,21.94,2.722,74,96.2,0.843,5.498,0.2,17.93,2.61507797241211
"2004-03-16",10.96,16.33,4.603,77,96.7,0.884,4.175,0,12.75,1.90800666809082
"2004-03-17",11.59,16.53,6.682,75.3,91.5,0.759,3.851,0,10.17,1.69770038127899
"2004-03-18",11.09,19.87,3.598,78.3,96.6,0.79,5.008,0,16.72,2.31987333297729
"2004-03-19",12.51,21.95,3.733,67.84,96.6,0.717,4.567,0,19.78,2.75019502639771
"2004-03-20",12.93,23.08,3.598,64.19,94.1,0.739,4.214,0,20.39,2.89373254776001
